Date;CompanyCode;CompanyName;Country;Operation;Sessions;UniqueUsers;DateRange
2026-07-20 00:00:00.000;ICASSATEST;ICAS South Africa (Test Preview);South Africa;Lyra Southern Africa Pty Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-20 00:00:00.000;ICASSATEST;ICAS South Africa (Test Preview);United Kingdom;Lyra Southern Africa Pty Ltd;2;1;2026-07-01 - 2026-07-31
2026-07-20 00:00:00.000;ICASTESTCS;ICAS Client Services (Test Preview);South Africa;Lyra Health International Ltd;2;1;2026-07-01 - 2026-07-31
2026-07-20 00:00:00.000;ICASTESTCS;ICAS Client Services (Test Preview);United Kingdom;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-20 00:00:00.000;ICASTESTCS;ICAS Client Services (Test Preview);United States;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-20 00:00:00.000;ROCHE;ROCHE;Philippines;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-21 00:00:00.000;CTE001;Cirtech Electronics (Pty) Ltd;South Africa;Lyra Southern Africa Pty Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-21 00:00:00.000;ICASSATEST;ICAS South Africa (Test Preview);United Kingdom;Lyra Southern Africa Pty Ltd;10;1;2026-07-01 - 2026-07-31
2026-07-21 00:00:00.000;ICASTESTCS;ICAS Client Services (Test Preview);South Africa;Lyra Health International Ltd;3;2;2026-07-01 - 2026-07-31
2026-07-21 00:00:00.000;ICASTESTCS;ICAS Client Services (Test Preview);United Kingdom;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-21 00:00:00.000;KOHLER;Kohler;United Kingdom;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-21 00:00:00.000;SIEGWERK;Siegwerk;United States;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-22 00:00:00.000;ICASSATEST;ICAS South Africa (Test Preview);United Kingdom;Lyra Southern Africa Pty Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-22 00:00:00.000;ICASTESTCS;ICAS Client Services (Test Preview);South Africa;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-22 00:00:00.000;ICASTESTCS;ICAS Client Services (Test Preview);United Kingdom;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-22 00:00:00.000;ICASXMERCURY;ICAS Mercury;Luxembourg;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-22 00:00:00.000;JABIL;Jabil;Poland;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-22 00:00:00.000;LYRAOPSTEST;Lyra Clinical Ops;United Kingdom;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-22 00:00:00.000;RELX;RELX;Philippines;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-22 00:00:00.000;SAP;SAP;Germany;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-22 00:00:00.000;SBDHUB22;Stanley Black & Decker;Mexico;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-22 00:00:00.000;SYLVAMO;Sylvamo;Poland;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-23 00:00:00.000;CGI;CGI;Canada;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-23 00:00:00.000;HUBTEST;icashubtestclient (Test Preview);South Africa;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-23 00:00:00.000;ICASMARKETINGTEST;ICAS Marketing (Test Preview);South Africa;Lyra Health International Ltd;2;1;2026-07-01 - 2026-07-31
2026-07-23 00:00:00.000;ICASSATEST;ICAS South Africa (Test Preview);United Kingdom;Lyra Southern Africa Pty Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-23 00:00:00.000;ICASTESTCS;ICAS Client Services (Test Preview);South Africa;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-23 00:00:00.000;SWAROVSKIHUB22;Swarovski;Germany;Lyra Health International Ltd;2;1;2026-07-01 - 2026-07-31
2026-07-23 00:00:00.000;SYLVAMO;Sylvamo;Poland;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-24 00:00:00.000;ICASSATEST;ICAS South Africa (Test Preview);United Kingdom;Lyra Southern Africa Pty Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-24 00:00:00.000;ICASTESTCS;ICAS Client Services (Test Preview);United Kingdom;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-27 00:00:00.000;ICASSATEST;ICAS South Africa (Test Preview);South Africa;Lyra Southern Africa Pty Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-27 00:00:00.000;ICASSATEST;ICAS South Africa (Test Preview);United Kingdom;Lyra Southern Africa Pty Ltd;2;1;2026-07-01 - 2026-07-31
2026-07-27 00:00:00.000;IDHPRODTEST;IDH Prod Test Company;United Kingdom;Lyra Health International Ltd;2;1;2026-07-01 - 2026-07-31
2026-07-27 00:00:00.000;JABIL;Jabil;United Kingdom;Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
2026-07-27 00:00:00.000;JOHNSONJOHNSON;Johnson & Johnson;Korea (South);Lyra Health International Ltd;1;1;2026-07-01 - 2026-07-31
