MonthDate;CompanyCode;CompanyName;Country;Operation;EventType;SearchTerm;DeviceCategory;ContentType;ContentTitle;DownloadLanguage;Theme;Route;UniqueUsers;DateRange
2026-07-01 00:00:00.000;CXP001;Cathay Pacific;Canada;Lyra Health International Ltd;download;-;Desktop;Infosheet;The 5 Pillars of Resilience;en;;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;CXP001;Cathay Pacific;Canada;Lyra Health International Ltd;download;-;Desktop;Infosheet;What to Expect When You Contact Lyra;en;;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;CXP001;Cathay Pacific;Canada;Lyra Health International Ltd;download;-;Desktop;Infosheet;5-Minute Emotional Check-in;en;;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;CXP001;Cathay Pacific;Canada;Lyra Health International Ltd;download;-;Desktop;Video;Mental health support: What happens when you contact Lyra?;en;;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;CXP001;Cathay Pacific;Canada;Lyra Health International Ltd;download;-;Desktop;Infosheet;Affirmations to Help Build Self-esteem;en;;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;CXP001;Cathay Pacific;Canada;Lyra Health International Ltd;download;-;Desktop;Infosheet;6 Home and Office Hacks to Support Healthier Choices;en;;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;CXP001;Cathay Pacific;Canada;Lyra Health International Ltd;download;-;Desktop;Infosheet;The Benefits of Gardening for Your Mental Wellbeing;en;;Search;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;CXP001;Cathay Pacific;Canada;Lyra Health International Ltd;search;n/a;Desktop;-;-;-;;;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DABWATERHUBTEST;DAB Water (Test Preview);Italy;Lyra Health International Ltd;download;-;Desktop;undefined;How to Prioritize When Everything Feels Urgent;en;;News;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DABWATERHUBTEST;DAB Water (Test Preview);Italy;Lyra Health International Ltd;download;-;Desktop;undefined;How to Prioritize When Everything Feels Urgent;it;;News;1;2026-07-01 - 2026-07-31
2026-07-01 00:00:00.000;DATALOGIC;Datalogic;Malta;Lyra Health International Ltd;download;-;Desktop;Infosheet;How Self-compassion Can Help You Achieve Your Fitness Goals;en;;Search;1;2026-07-01 - 2026-07-31
